"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"207",2018-12-03 13:00:00,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"208",2018-12-03 12:00:00,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"209",2018-12-03 11:00:00,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"210",2018-12-03 10:00:00,6,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
"211",2018-12-03 09:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"212",2018-12-03 08:00:00,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",2018-12-03 07:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",2018-12-03 06:00:00,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"215",2018-12-03 05:00:00,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"216",2018-12-03 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",2018-12-03 03:00:00,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"218",2018-12-03 02:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"219",2018-12-03 01:00:00,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"220",2018-12-03 00:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",2018-12-02 23:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"222",2018-12-02 22:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",2018-12-02 21:00:00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",2018-12-02 20:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225",2018-12-02 19:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",2018-12-02 18:00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",2018-12-02 17:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",2018-12-02 16:00:00,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"229",2018-12-02 15:00:00,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"230",2018-12-02 14:00:00,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"231",2018-12-02 13:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",2018-12-02 12:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"233",2018-12-02 11:00:00,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234",2018-12-02 10:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235",2018-12-02 09:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",2018-12-02 08:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",2018-12-02 07:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",2018-12-02 06:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",2018-12-02 05:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",2018-12-02 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",2018-12-02 03:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",2018-12-02 02:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",2018-12-02 01:00:00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",2018-12-02 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245",2018-12-01 23:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",2018-12-01 22:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",2018-12-01 21:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",2018-12-01 20:00:00,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"249",2018-12-01 19:00:00,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",2018-12-01 18:00:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",2018-12-01 17:00:00,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",2018-12-01 16:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",2018-12-01 15:00:00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",2018-12-01 14:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255",2018-12-01 13:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",2018-12-01 12:00:00,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"257",2018-12-01 11:00:00,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"258",2018-12-01 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",2018-12-01 09:00:00,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"260",2018-12-01 08:00:00,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",2018-12-01 07:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",2018-12-01 06:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",2018-12-01 05:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
