"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"183",2018-06-03 01:00:00,42,11,12,2,0,0,2,1,1,0,1,0,2,1,0,0,1,0
"184",2018-06-02 01:00:00,62,15,7,3,0,3,0,1,0,0,1,0,1,1,0,1,0,2
"185",2018-06-01 01:00:00,80,9,5,4,0,10,0,3,1,0,1,0,1,3,0,1,0,1
"186",2018-05-31 01:00:00,63,18,9,4,0,9,0,1,1,1,1,0,3,3,0,0,0,2
"187",2018-05-30 01:00:00,61,14,14,2,0,4,0,1,0,1,1,0,2,4,0,0,0,0
"188",2018-05-29 01:00:00,69,14,12,4,0,1,0,1,2,1,0,0,1,3,0,0,0,2
"189",2018-05-28 01:00:00,50,5,2,0,0,3,0,2,1,1,0,0,0,1,0,0,0,0
"190",2018-05-27 01:00:00,48,4,2,3,0,2,0,1,1,0,0,0,1,0,0,0,0,1
"191",2018-05-26 01:00:00,69,14,4,4,0,6,0,2,0,1,0,0,1,2,0,0,0,2
"192",2018-05-25 01:00:00,77,12,4,3,0,8,0,3,1,1,1,0,1,1,0,0,0,0
"193",2018-05-24 01:00:00,82,13,3,5,0,4,0,1,2,1,3,0,1,2,0,0,0,2
"194",2018-05-23 01:00:00,94,11,4,7,0,2,0,3,3,1,1,0,2,1,0,0,0,0
"195",2018-05-22 01:00:00,63,12,2,4,0,3,0,2,4,1,4,0,1,3,0,0,0,2
"196",2018-05-21 01:00:00,35,5,0,1,0,1,0,1,3,1,1,0,0,1,0,0,1,1
"197",2018-05-20 01:00:00,48,7,3,1,0,1,0,0,3,0,3,0,1,0,0,0,0,1
"198",2018-05-19 01:00:00,75,10,3,1,0,1,0,1,1,1,1,0,1,2,0,0,0,2
"199",2018-05-18 01:00:00,82,22,5,1,0,2,0,2,0,1,0,0,1,1,0,0,0,3
"200",2018-05-17 01:00:00,82,22,5,5,0,3,0,3,0,1,1,0,2,3,0,0,0,3
"201",2018-05-16 01:00:00,76,18,6,4,0,3,0,4,1,1,7,0,2,1,0,0,0,0
"202",2018-05-15 01:00:00,73,11,7,4,0,6,1,1,0,1,7,0,1,2,0,0,0,1
"203",2018-05-14 01:00:00,43,10,1,1,0,2,0,1,0,1,0,0,1,1,0,0,1,0
"204",2018-05-13 01:00:00,55,7,3,2,0,2,0,1,1,0,1,0,3,0,0,0,0,0
"205",2018-05-12 01:00:00,84,19,4,2,0,3,0,2,4,1,1,0,1,4,0,0,0,2
"206",2018-05-11 01:00:00,79,24,2,2,0,1,0,1,2,1,1,0,1,1,0,0,0,0
"207",2018-05-10 01:00:00,79,19,8,4,0,2,0,2,0,1,2,0,1,4,0,0,0,2
"208",2018-05-09 01:00:00,64,16,6,5,0,2,0,1,0,1,3,0,3,1,0,0,0,0
"209",2018-05-08 01:00:00,77,7,5,5,0,2,1,4,3,1,1,0,1,4,0,0,2,1
"210",2018-05-07 01:00:00,42,10,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0
"211",2018-05-06 01:00:00,47,13,4,3,0,2,0,1,0,0,1,0,1,1,0,0,0,0
"212",2018-05-05 01:00:00,70,18,5,6,0,7,0,2,1,1,3,0,1,5,0,0,3,1
"213",2018-05-04 01:00:00,85,21,3,4,0,1,0,2,1,1,2,0,1,2,0,0,4,0
"214",2018-05-03 01:00:00,63,31,5,2,0,1,0,4,0,1,0,0,2,1,0,0,0,1
"215",2018-05-02 01:00:00,69,16,5,6,0,3,0,5,2,1,6,0,5,3,0,0,0,0
"216",2018-05-01 01:00:00,59,9,4,2,0,3,0,5,6,0,6,0,1,2,0,0,0,1
"217",2018-04-30 01:00:00,46,5,2,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"218",2018-04-29 01:00:00,55,12,5,4,0,1,0,2,0,0,0,0,1,1,0,0,0,0
"219",2018-04-28 01:00:00,67,21,2,3,0,6,0,4,0,0,0,0,3,3,0,0,0,1
"220",2018-04-27 01:00:00,74,15,1,4,0,4,0,3,0,0,1,0,2,1,0,0,0,0
"221",2018-04-26 01:00:00,83,17,6,3,0,5,0,2,1,0,2,0,1,3,0,0,0,1
"222",2018-04-25 01:00:00,79,16,5,2,0,2,0,2,0,0,2,0,1,1,0,0,0,0
"223",2018-04-24 01:00:00,73,12,1,5,0,4,0,1,0,0,3,0,1,2,0,0,0,1
"224",2018-04-23 01:00:00,51,9,2,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0
"225",2018-04-22 01:00:00,45,5,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"226",2018-04-21 01:00:00,71,18,0,3,0,3,0,3,0,0,1,0,1,2,0,1,0,2
"227",2018-04-20 01:00:00,79,16,2,3,0,3,0,2,0,0,1,0,3,2,0,0,0,0
"228",2018-04-19 01:00:00,82,14,2,6,0,2,0,4,0,0,1,0,4,2,0,0,0,1
"229",2018-04-18 01:00:00,79,13,0,2,0,2,0,3,0,0,1,0,1,2,0,0,0,1
"230",2018-04-17 01:00:00,64,11,1,4,0,4,0,2,0,0,1,0,1,5,0,0,1,1
"231",2018-04-16 01:00:00,45,10,2,2,0,1,0,2,0,0,0,0,1,1,0,0,0,0
