"","Date","high","low","open","close"
"214",2018-10-06 21:00:00,6597.14,6586.45,6592.19,6593.99
"215",2018-10-06 22:00:00,6600.33,6568.76,6595.29,6588.03
"216",2018-10-06 23:00:00,6590.85,6584.29,6588.03,6589.94
"217",2018-10-07 00:00:00,6597.54,6588.66,6589.94,6596.57
"218",2018-10-07 01:00:00,6598.36,6578.95,6596.59,6596.5
"219",2018-10-07 02:00:00,6598.76,6586.11,6596.5,6598.51
"220",2018-10-07 03:00:00,6598.82,6589.98,6598.51,6595.94
"221",2018-10-07 04:00:00,6599.37,6570.78,6596.06,6582.99
"222",2018-10-07 05:00:00,6588.91,6563.57,6583.16,6585.06
"223",2018-10-07 06:00:00,6588.33,6564.11,6585.32,6584.16
"224",2018-10-07 07:00:00,6584.56,6556.05,6584.16,6568.85
"225",2018-10-07 08:00:00,6569.8,6535.02,6568.85,6551.28
"226",2018-10-07 09:00:00,6558.94,6546.18,6551.53,6555.84
"227",2018-10-07 10:00:00,6563.69,6549.84,6555.84,6555.36
"228",2018-10-07 11:00:00,6559.78,6548.32,6555.36,6554.01
"229",2018-10-07 12:00:00,6555.86,6545.7,6553.96,6554.38
"230",2018-10-07 13:00:00,6565.44,6553.29,6554.38,6562.78
"231",2018-10-07 14:00:00,6565.65,6545.99,6562.78,6556.44
"232",2018-10-07 15:00:00,6568.57,6553.95,6556.44,6565.83
"233",2018-10-07 16:00:00,6567.24,6553.66,6566.07,6562.9
"234",2018-10-07 17:00:00,6573.24,6561.91,6562.9,6570.99
"235",2018-10-07 18:00:00,6577.5,6568.93,6571.47,6576.14
"236",2018-10-07 19:00:00,6579.33,6568.15,6577.72,6568.46
"237",2018-10-07 20:00:00,6571.16,6565.9,6568.46,6566.56
"238",2018-10-07 21:00:00,6575.53,6564.29,6566.56,6573.85
"239",2018-10-07 22:00:00,6574.72,6569.5,6573.85,6572.73
"240",2018-10-07 23:00:00,6622.49,6571.92,6572.73,6601.15
"241",2018-10-08 00:00:00,6611.49,6597.6,6601.46,6598.78
"242",2018-10-08 01:00:00,6604.99,6591.28,6598.78,6593.24
"243",2018-10-08 02:00:00,6595.45,6590.93,6593.24,6592.73
"244",2018-10-08 03:00:00,6593.65,6588.91,6592.73,6590.38
"245",2018-10-08 04:00:00,6594.03,6588.63,6590.38,6591.77
"246",2018-10-08 05:00:00,6593.48,6578.68,6591.77,6581.4
"247",2018-10-08 06:00:00,6585.45,6565.01,6581.53,6585.43
"248",2018-10-08 07:00:00,6588.45,6578.47,6585.43,6582.43
"249",2018-10-08 08:00:00,6585,6578.73,6582.43,6582.41
"250",2018-10-08 09:00:00,6589.29,6577.62,6582.97,6589.28
"251",2018-10-08 10:00:00,6603.8,6581.03,6589.38,6603.8
"252",2018-10-08 11:00:00,6641.11,6603.69,6603.8,6628.67
"253",2018-10-08 12:00:00,6698.31,6626.61,6628.67,6658.05
"254",2018-10-08 13:00:00,6670.25,6632.16,6658.4,6643.57
"255",2018-10-08 14:00:00,6655.4,6636.89,6643.57,6649.24
"256",2018-10-08 15:00:00,6673.11,6648.97,6649.24,6655.41
"257",2018-10-08 16:00:00,6661.12,6641.38,6655.41,6644.32
"258",2018-10-08 17:00:00,6660.44,6642.22,6644.41,6659.76
"259",2018-10-08 18:00:00,6660.59,6640.28,6659.52,6642.78
"260",2018-10-08 19:00:00,6684.99,6640.02,6642.78,6675.9
"261",2018-10-08 20:00:00,6677.57,6659.76,6675.9,6667.25
"262",2018-10-08 21:00:00,6669.89,6654.12,6667.25,6660.55
"263",2018-10-08 22:00:00,6660.82,6642.02,6660.68,6643.09
"264",2018-10-08 23:00:00,6657.41,6642.5,6643.72,6650.07
"265",2018-10-09 00:00:00,6657,6650.01,6650.07,6651.7
"266",2018-10-09 01:00:00,6651.7,6635.99,6651.7,6640.99
"267",2018-10-09 02:00:00,6644.19,6635.96,6640.81,6643.09
"268",2018-10-09 03:00:00,6643.59,6633.98,6643.09,6642.24
"269",2018-10-09 04:00:00,6650.24,6641.54,6642.24,6649.44
"270",2018-10-09 05:00:00,6656.05,6642.46,6649.44,6643.48
"271",2018-10-09 06:00:00,6643.75,6634.35,6643.48,6639.48
"272",2018-10-09 07:00:00,6642.21,6635.99,6639.68,6641.23
"273",2018-10-09 08:00:00,6642.79,6617.41,6641.23,6633.37
"274",2018-10-09 09:00:00,6635.48,6627.7,6633.37,6635.23
"275",2018-10-09 10:00:00,6637.27,6633.19,6635.23,6635.62
"276",2018-10-09 11:00:00,6635.64,6619.58,6635.64,6623.31
"277",2018-10-09 12:00:00,6624.37,6604.58,6624.37,6613.47
"278",2018-10-09 13:00:00,6613.85,6589.53,6613.47,6589.57
"279",2018-10-09 14:00:00,6608.06,6589.39,6589.8,6605.99
"280",2018-10-09 15:00:00,6614.27,6605.49,6605.99,6613.23
"281",2018-10-09 16:00:00,6613.89,6603.42,6613.23,6609.25
"282",2018-10-09 17:00:00,6613.37,6606.21,6609.25,6613.37
"283",2018-10-09 18:00:00,6627.51,6613.08,6613.37,6626.97
"284",2018-10-09 19:00:00,6638.5,6624.97,6626.93,6628.07
"285",2018-10-09 20:00:00,6628.07,6614.4,6628.07,6619.99
"286",2018-10-09 21:00:00,6623.68,6618.3,6619.99,6622.75
"287",2018-10-09 22:00:00,6638.17,6622.35,6622.75,6637.91
"288",2018-10-09 23:00:00,6640.25,6630.63,6637.91,6631.79
"289",2018-10-10 00:00:00,6633.22,6611.39,6631.79,6620.63
"290",2018-10-10 01:00:00,6620.96,6601.94,6620.95,6607.73
"291",2018-10-10 02:00:00,6612.82,6606.07,6607.73,6606.07
"292",2018-10-10 03:00:00,6606.77,6567.72,6606.51,6581.8
"293",2018-10-10 04:00:00,6587.1,6567.01,6581.8,6567.01
"294",2018-10-10 05:00:00,6567.23,6505.44,6567.01,6506.95
"295",2018-10-10 06:00:00,6536.93,6487.86,6506.95,6536.63
